350702,"[59555, 64364, 80026, 90444, 96453]"
352469,"[14965, 31787, 33520, 35973, 39731, 43956, 46444, 51012, 54067, 68726, 77665, 78483, 82210, 83654, 91805, 96372, 104418, 109019]"
522694,"[21396, 24736, 32929, 33684, 51010, 66588, 68014, 75735, 85015, 107706]"
123564,"[7278, 34723, 59883, 91622, 93568, 105558, 109801]"
402395,"[4429, 59893]"
491469,"[12399, 34241, 37505, 91818, 92941, 95082, 101370, 107983, 110327]"
169512,"[54, 20963, 21493, 39198, 80870, 85240, 87600, 108669, 108726]"
545471,"[998, 9896, 72578, 73016, 98718, 107882]"
693198,"[8346, 10994, 16637, 47369, 50163, 70652, 75118, 90726, 94545, 97922]"
524729,"[5334, 7153, 8791, 13026, 17338, 31586, 31871, 32625, 33496, 43657, 50037, 59074, 66100, 87101, 94076, 98478, 100390, 104364, 108543]"
36385,"[67768, 94833, 104627, 105525]"
670711,"[5752, 59340, 104169]"
686856,"[22643, 33367, 34593, 45256]"
152850,"[23042, 91185, 107473]"
67532,"[6121, 7816, 14194, 16003, 17437, 21673, 28144, 29916, 31029, 31974, 32147, 32720, 36973, 38918, 40714, 40927, 41683, 42446, 48913, 52828, 54616, 57216, 59547, 63110, 66215, 75184, 75723, 77950, 92145, 93084, 94549, 102300, 102380, 104446, 110653, 111097]"
68049,[]
480091,"[31885, 59652, 73712, 82060, 92239, 95657, 105783]"
434161,[100847]
470513,"[9279, 101691]"
522643,"[6507, 11112, 11762, 11819, 11873, 12311, 12745, 13961, 16195, 16927, 17099, 18302, 22259, 22883, 25178, 25493, 33350, 34855, 40001, 41310, 41651, 43824, 45613, 47280, 51831, 51995, 53918, 57525, 59326, 61518, 70468, 71238, 80863, 80971, 84527, 84612, 85662, 87139, 88287, 91218, 96313, 100282, 100769, 106109, 107817, 110630]"
693021,"[12785, 30181, 37002, 43493, 82408]"
157378,"[15540, 57044, 85879, 86545, 97693]"
521559,"[98, 24409, 63723, 70491, 86095, 88826]"
16094,"[38274, 52208, 86535]"
648294,"[15283, 27325, 43947, 46620, 55025, 73293, 91383, 107050, 111228]"
693210,"[35484, 40776, 69551]"
470777,[]
88203,[26229]
70335,"[33914, 49288, 72793, 96787, 98041]"
542191,"[121, 6300, 7381, 11750, 14986, 18194, 18288, 23846, 28034, 29379, 29666, 32420, 33829, 38042, 40577, 49593, 61943, 63800, 69171, 77072, 79269, 79806, 87700, 90184, 90568, 95610, 101429, 101666, 105497]"
331546,"[61161, 101415, 104579, 107948, 109185]"
394663,"[12324, 30028, 82502, 93380]"
115521,"[14166, 55994, 58367, 107344]"
648009,"[67511, 81383]"
687797,"[5922, 43957, 56318]"
593683,"[31646, 41914, 66683, 79484]"
483194,"[3664, 16736, 17340, 18431, 28964, 33334, 36949, 39013, 40410, 43290, 46726, 57266, 69978, 72770, 90984, 94247, 106177, 106742, 109542]"
112644,"[5700, 20243, 24106, 24945, 26246, 55620, 63300, 79406, 90702]"
410935,"[20623, 27075, 66835]"
679776,"[2483, 7179, 38381, 49912, 67041, 86242, 95960, 108422, 111219]"
510541,"[12732, 84265, 99346, 110469]"
673907,[]
223234,"[7518, 7879, 21998, 52407]"
337771,[]
228996,"[10772, 54891]"
156126,"[65734, 101383]"
359263,[51939]
409487,"[2366, 9909, 12393, 27516, 43337, 56631, 64849, 87881, 91486, 95810, 99984, 100357, 105739]"
207306,[]
27338,"[23752, 46047, 54643, 94998]"
483200,"[6779, 10322, 24323, 26684, 37426, 45848, 50955, 51155, 61661, 62966, 91640]"
374473,"[14386, 16146, 32099, 77954]"
688869,"[42626, 76248]"
212405,"[8397, 46646, 71525]"
274783,"[26619, 54186]"
482474,"[1937, 6173, 11510, 15076, 16480, 17075, 25052, 28601, 38778, 45322, 48581, 49153, 50043, 54032, 58469, 58836, 60033, 64633, 67477, 68593, 73554, 74221, 81252, 81992, 83828, 84469, 88929, 93452, 97664, 97707, 99237, 100614, 102154, 102220, 104369, 109360]"
673132,"[112, 9153, 10364, 28011, 54849, 68449, 72457, 77049, 80085, 86463, 93373, 110203]"
482953,"[9637, 20316, 57597, 58249, 61624, 61911, 67167, 81032, 96250]"
522638,"[9163, 43604]"
676250,"[3869, 8053, 14873, 44651, 47878, 48842, 58285, 59147, 62181, 76964, 85214, 85277, 91489, 92514, 99828, 100699, 103660, 109601]"
106030,[95962]
672303,[]
53564,[92605]
672400,"[14746, 24648, 78261]"
173392,"[13195, 20131, 29535, 31722, 41932, 66203]"
232976,"[1339, 26606, 27036]"
418916,"[14741, 31357, 41321, 63951, 86141, 91093, 94300]"
578612,"[30512, 39945, 61783, 62078, 98414]"
54528,"[22384, 92340]"
427615,"[10689, 16871, 20652, 26217, 26771, 44311, 52339, 90474, 102247]"
242283,"[50064, 71157, 80561, 92872, 94115, 98253]"
698382,[749]
541901,"[4480, 26168, 39748, 45243, 48089, 61556, 64018, 71828, 108721]"
509070,"[32487, 48666, 77839]"
604823,"[8168, 14724, 19214, 35288, 42293, 67742, 80382, 81548, 111171]"
107243,"[42343, 51240]"
351251,"[3500, 17720, 23973, 30517, 43287, 55318, 68932, 80883, 81220, 100728]"
143415,"[1238, 10762, 13532, 32559, 53127, 75002]"
541907,"[3023, 13614, 34096, 37420, 44619, 62459, 86746, 102703]"
73435,"[11138, 29441, 36045, 45024, 71319, 80215, 92773, 94379, 96297]"
474668,"[4683, 83000]"
293741,"[17703, 44193, 107421]"
373533,"[66346, 84517, 88926]"
178161,"[1047, 19200, 23311, 86112, 95030, 95450, 98649, 108639]"
516840,"[6890, 17505, 26392, 29276, 32534, 59923, 69424, 73364, 75134, 88914, 102129, 109911]"
410299,"[4820, 5491, 23628, 41711, 45788, 59019, 63754, 66575, 67576, 70172, 85078, 87095, 110642, 110778]"
130960,[]
654505,"[8003, 18159, 40749, 44930, 97756]"
422663,"[16557, 20366, 81332]"
39508,[47844]
195136,[26669]
175089,"[21317, 35405, 42110, 42904, 50251, 100249]"
379767,"[4393, 4751, 14799, 19098, 24052, 40791, 41094, 47041, 49930, 50427, 50477, 52167, 55196, 60564, 79457, 86747, 90841]"
542033,"[26824, 36696, 86971, 100455, 106217]"
492900,"[24571, 28841, 29457, 33089, 46042, 60100, 81434]"
662751,"[17093, 24679, 31462, 39515, 40354, 43202, 45336, 59106, 59950, 61616, 63673, 67141, 73081, 83019, 83267, 85365, 87067, 94213, 98999, 106849]"
482900,[]
232875,"[4388, 13697, 51762]"
189030,"[5749, 12940, 15728, 55535, 75182, 78236, 80713, 81470, 83512, 87576, 89556, 94706]"
389620,"[66309, 66741, 77413]"
275208,"[88484, 108004]"
693006,"[6626, 24646, 71996, 77098, 99626]"
655472,"[1557, 27655, 30718, 34208, 78219, 96498, 102029]"
40611,"[20052, 84940, 99173]"
490929,"[2516, 89987]"
626415,"[5815, 26513, 28805, 39553, 79402, 86807, 98240, 99653, 101338]"
684217,"[17608, 75734]"
492630,[93979]
673153,[]
102761,[36341]
88226,"[42642, 55129, 56263, 57536, 68730, 69876, 98354]"
410036,"[232, 771, 9694, 33546, 50243, 50367, 84486]"
206666,[]
431014,[]
676277,"[7069, 104381]"
668792,"[39794, 44062, 49041, 70767, 77226, 78057, 84071, 88001, 96089]"
482493,"[3363, 7976, 18197, 27925, 29548, 32105, 43720, 44871, 45081, 52867, 54047, 74581, 77081, 80617, 94161, 99454, 100792, 101679, 104645, 109253]"
683357,[]
550309,"[21770, 45840, 55367, 64644, 78346]"
223222,[]
195585,"[15771, 85285]"
379774,"[75655, 97743]"
675163,"[814, 50686, 65714, 90129]"
88402,[34360]
158552,"[3974, 25856, 32621, 51171, 71602, 79374, 83516, 106313]"
413058,"[10773, 12506, 92780, 99550, 101970]"
510462,"[51419, 73178, 91952]"
379773,"[75431, 85257]"
679448,"[2668, 4095, 11435, 23255, 35707, 49883, 64631, 111253]"
489535,[90692]
647281,[5626]
522492,"[16749, 56921, 90908, 98230, 100284]"
538048,"[16474, 50411, 59912, 88408]"
87621,"[22797, 30613, 52013, 52886, 63485, 83065, 98741]"
427128,[22659]
518254,"[36487, 39988, 65976]"
267419,[41030]
693214,"[1452, 37338, 45566, 47392, 56983]"
541909,"[23471, 32391]"
261467,"[27046, 68917, 97229]"
